date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:36:18	170306/170306	---MCZ	200	added ('OK')	text/html	etag:W/%22c3ab23b4fbbc0ecbaac5a2e2bdd03a92%22	https://rubick-html.vercel.app/index.html	C:/My%20Web%20Sites/admin2/rubick-html.vercel.app/index.html	(from )
10:36:19	1473/1473	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2022%20Jul%202023%2003:39:44%20GMT	https://rubick-html.vercel.app/robots.txt		(from )
10:36:19	1401/1401	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2261f182f964762cf2b09f90dca8dffb77%22	https://rubick-html.vercel.app/dist/images/logo.svg	C:/My%20Web%20Sites/admin2/rubick-html.vercel.app/dist/images/logo.svg	(from https://rubick-html.vercel.app/index.html)
10:36:19	551079/551079	---MCZ	200	added ('OK')	text/css	etag:W/%225a9b8032e28395fe93ee135bdfc54f69%22	https://rubick-html.vercel.app/dist/css/app.css	C:/My%20Web%20Sites/admin2/rubick-html.vercel.app/dist/css/app.css	(from https://rubick-html.vercel.app/index.html)
10:36:19	169866/169866	---MCZ	200	added ('OK')	text/html	etag:W/%2222d3b48f6b45b886b790e770589f2713%22	https://rubick-html.vercel.app/side-menu-light-dashboard-overview-2.html	C:/My%20Web%20Sites/admin2/rubick-html.vercel.app/side-menu-light-dashboard-overview-2.html	(from https://rubick-html.vercel.app/index.html)
10:36:19	163302/163302	---MCZ	200	added ('OK')	text/html	etag:W/%22203d7aff5ee58298a37995c8add8a4a6%22	https://rubick-html.vercel.app/side-menu-light-dashboard-overview-3.html	C:/My%20Web%20Sites/admin2/rubick-html.vercel.app/side-menu-light-dashboard-overview-3.html	(from https://rubick-html.vercel.app/index.html)
10:36:20	176148/176148	---MCZ	200	added ('OK')	text/html	etag:W/%2247eb87b9bbc0367f04c46e436e92dced%22	https://rubick-html.vercel.app/side-menu-light-dashboard-overview-4.html	C:/My%20Web%20Sites/admin2/rubick-html.vercel.app/side-menu-light-dashboard-overview-4.html	(from https://rubick-html.vercel.app/index.html)
10:36:20	170472/170472	---MCZ	200	added ('OK')	text/html	etag:W/%221aa00602c05db945760cefc206d36fd1%22	https://rubick-html.vercel.app/simple-menu-light-dashboard-overview-1.html	C:/My%20Web%20Sites/admin2/rubick-html.vercel.app/simple-menu-light-dashboard-overview-1.html	(from https://rubick-html.vercel.app/index.html)
10:36:20	160832/160832	---MCZ	200	added ('OK')	text/html	etag:W/%22eb6b371597e37a5460c94232979a69ff%22	https://rubick-html.vercel.app/top-menu-light-dashboard-overview-1.html	C:/My%20Web%20Sites/admin2/rubick-html.vercel.app/top-menu-light-dashboard-overview-1.html	(from https://rubick-html.vercel.app/index.html)
10:36:20	135180/135180	---MCZ	200	added ('OK')	text/html	etag:W/%225e673ef85fa39357ccbd7767593a8076%22	https://rubick-html.vercel.app/side-menu-light-categories.html	C:/My%20Web%20Sites/admin2/rubick-html.vercel.app/side-menu-light-categories.html	(from https://rubick-html.vercel.app/index.html)
10:36:21	182200/182200	---MCZ	200	added ('OK')	text/html	etag:W/%22141aa22d9172bdc22e392e018a8a39c4%22	https://rubick-html.vercel.app/side-menu-light-add-product.html	C:/My%20Web%20Sites/admin2/rubick-html.vercel.app/side-menu-light-add-product.html	(from https://rubick-html.vercel.app/index.html)
